"Sr No.","Student Name","Mobile Number",School,"School Code","District Name","Block Name","Cluster Name",Grade,Section,Type,Address,State,City,DOB,"Mission Completed","Mission Requested",Quiz,"Earn Coins","Quiz Coins","Mission Coins","Coins Redeemed","Product Redeemed",Rating,"Register Date"
1,Vijay,8600000000,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Washim,-,0,0,0,0,0,0,0,0,94133,27-05-2024
2,Vijay,8554051128,"Life App Testing School",2000000,,,,10,"No Section",Student,,Maharashtra,Pune,-,5,17,5,138,13,125,0,0,5499,07-06-2024
3,BR,8600000001,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,1,0,0,0,0,0,0,94147,07-06-2024
4,"Vijay test",8600000006,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94148,08-06-2024
5,Arikrishnan,8600000004,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94149,08-06-2024
6,"VARADHARAJAN B",8600000003,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94150,08-06-2024
7,"Muthukumar A",8600000002,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94151,08-06-2024
8,Radhika,8600000005,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94152,08-06-2024
9,"VARADHARAJAN B",8000000003,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94153,08-06-2024
10,Ram,8600000011,"Life App Testing School",2000000,,,,10,"No Section",Student,,Maharashtra,Pune,-,1,2,1,29,4,25,0,0,12063,08-06-2024
11,Fazil,8600000009,"Life App Testing School",2000000,,,,6,B,Student,,Maharashtra,Pune,-,1,2,0,25,0,25,0,0,35646,08-06-2024
12,Virgil,8600000012,"Life App Testing School",2000000,,,,10,"No Section",Student,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94154,08-06-2024
13,Test,8600000013,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94155,08-06-2024
14,Vj,8600000014,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94156,08-06-2024
15,Mani,8600000015,"Life App Testing School",2000000,,,,,,Teacher,,Maharashtra,Pune,-,0,0,0,0,0,0,0,0,94170,17-06-2024
